TagID_Hex,DetectDateTime,RecSN,FracSec,nPRI,SigStr,Thresh
2D9F,2020-04-04 17:11:14,17125,,5,,
2D9F,2020-04-04 17:12:15,17125,,5,,
2D9F,2020-04-04 17:12:20,17125,,5,,
2D9F,2020-04-04 17:12:25,17125,,5,,
2D9F,2020-04-04 17:12:30,17125,,5,,
2D9F,2020-04-04 17:12:35,17125,,5,,
2D9F,2020-04-04 17:12:40,17125,,5,,
2D9F,2020-04-04 17:13:00,17125,,5,,
2D9F,2020-04-04 17:13:15,17125,,5,,
2D9F,2020-04-04 17:13:30,17125,,5,,
2D9F,2020-04-04 17:13:35,17125,,5,,
2D9F,2020-04-04 17:14:51,17125,,5,,
2D9F,2020-04-04 17:15:26,17125,,5,,
2D9F,2020-04-04 17:16:01,17125,,5,,
2D9F,2020-04-04 17:16:06,17125,,5,,
2D9F,2020-04-04 17:16:17,17125,,5,,
2D9F,2020-04-04 17:16:22,17125,,5,,
2D9F,2020-04-04 17:16:27,17125,,5,,
2D9F,2020-04-04 17:16:52,17125,,5,,
2D9F,2020-04-04 00:53:20,17126,,5,,
2D9F,2020-04-04 00:53:35,17126,,5,,
2D9F,2020-04-04 00:54:15,17126,,5,,
2D9F,2020-04-04 00:54:51,17126,,5,,
2D9F,2020-04-04 00:55:06,17126,,5,,
2D9F,2020-04-04 00:55:41,17126,,5,,
2D9F,2020-04-04 00:55:56,17126,,5,,
2D9F,2020-04-04 00:56:01,17126,,5,,
2D9F,2020-04-04 00:56:06,17126,,5,,
2D9F,2020-04-04 00:56:11,17126,,5,,
2D9F,2020-04-04 00:56:31,17126,,5,,
2D9F,2020-04-04 00:56:36,17126,,5,,
2D9F,2020-04-04 00:56:46,17126,,5,,
2D9F,2020-04-04 00:57:02,17126,,5,,
2D9F,2020-04-04 00:57:17,17126,,5,,
2D9F,2020-04-04 00:57:22,17126,,5,,
2D9F,2020-04-04 00:57:27,17126,,5,,
2D9F,2020-04-04 00:57:32,17126,,5,,
2D9F,2020-04-04 00:57:47,17126,,5,,
2D9F,2020-04-04 00:57:52,17126,,5,,
2D9F,2020-04-04 00:58:02,17126,,5,,
2D9F,2020-04-04 00:58:07,17126,,5,,
2D9F,2020-04-04 00:58:17,17126,,5,,
2D9F,2020-04-04 00:58:27,17126,,5,,
2D9F,2020-04-04 00:58:42,17126,,5,,
2D9F,2020-04-04 00:58:47,17126,,5,,
2D9F,2020-04-04 00:59:08,17126,,5,,
2D9F,2020-04-04 00:59:13,17126,,5,,
2D9F,2020-04-04 00:59:23,17126,,5,,
2D9F,2020-04-04 00:59:28,17126,,5,,
2D9F,2020-04-04 00:59:33,17126,,5,,
2D9F,2020-04-04 00:59:38,17126,,5,,
2D9F,2020-04-04 00:59:53,17126,,5,,
2D9F,2020-04-04 01:00:03,17126,,5,,
2D9F,2020-04-04 01:00:28,17126,,5,,
2D9F,2020-04-04 01:00:38,17126,,5,,
2D9F,2020-04-04 01:01:04,17126,,5,,
2D9F,2020-04-04 01:01:09,17126,,5,,
2D9F,2020-04-04 01:01:24,17126,,5,,
2D9F,2020-04-04 01:01:34,17126,,5,,
2D9F,2020-04-04 01:01:39,17126,,5,,
2D9F,2020-04-04 01:01:44,17126,,5,,
2D9F,2020-04-04 01:01:49,17126,,5,,
2D9F,2020-04-04 01:01:54,17126,,5,,
2D9F,2020-04-04 01:01:59,17126,,5,,
2D9F,2020-04-04 01:02:09,17126,,5,,
2D9F,2020-04-04 01:02:19,17126,,5,,
2D9F,2020-04-04 01:02:24,17126,,5,,
2D9F,2020-04-04 01:02:29,17126,,5,,
2D9F,2020-04-04 01:02:34,17126,,5,,
2D9F,2020-04-04 01:02:39,17126,,5,,
2D9F,2020-04-04 01:02:44,17126,,5,,
2D9F,2020-04-04 01:02:49,17126,,5,,
2D9F,2020-04-04 01:02:54,17126,,5,,
2D9F,2020-04-04 01:02:59,17126,,5,,
2D9F,2020-04-04 01:03:04,17126,,5,,
2D9F,2020-04-04 01:03:15,17126,,5,,
2D9F,2020-04-04 01:03:20,17126,,5,,
2D9F,2020-04-04 01:03:30,17126,,5,,
2D9F,2020-04-04 01:03:35,17126,,5,,
2D9F,2020-04-04 01:03:40,17126,,5,,
2D9F,2020-04-04 01:03:45,17126,,5,,
2D9F,2020-04-04 01:03:50,17126,,5,,
2D9F,2020-04-04 01:03:55,17126,,5,,
2D9F,2020-04-04 01:04:00,17126,,5,,
2D9F,2020-04-04 01:04:05,17126,,5,,
2D9F,2020-04-04 01:04:10,17126,,5,,
2D9F,2020-04-04 01:04:15,17126,,5,,
2D9F,2020-04-04 01:04:25,17126,,5,,
2D9F,2020-04-04 01:04:30,17126,,5,,
2D9F,2020-04-04 01:04:35,17126,,5,,
2D9F,2020-04-04 01:04:40,17126,,5,,
2D9F,2020-04-04 01:04:45,17126,,5,,
2D9F,2020-04-04 01:04:50,17126,,5,,
2D9F,2020-04-04 01:04:55,17126,,5,,
2D9F,2020-04-04 01:05:00,17126,,5,,
2D9F,2020-04-04 01:05:05,17126,,5,,
2D9F,2020-04-04 01:05:11,17126,,5,,
2D9F,2020-04-04 01:05:16,17126,,5,,
2D9F,2020-04-04 01:05:21,17126,,5,,
2D9F,2020-04-04 01:05:26,17126,,5,,
2D9F,2020-04-04 01:05:41,17126,,5,,
2D9F,2020-04-04 01:05:51,17126,,5,,
2D9F,2020-04-04 01:05:56,17126,,5,,
2D9F,2020-04-04 01:06:01,17126,,5,,
2D9F,2020-04-04 01:06:06,17126,,5,,
2D9F,2020-04-04 01:06:11,17126,,5,,
2D9F,2020-04-04 01:06:16,17126,,5,,
2D9F,2020-04-04 01:06:21,17126,,5,,
2D9F,2020-04-04 01:06:26,17126,,5,,
2D9F,2020-04-04 01:06:31,17126,,5,,
2D9F,2020-04-04 01:06:36,17126,,5,,
2D9F,2020-04-04 01:06:41,17126,,5,,
2D9F,2020-04-04 01:06:46,17126,,5,,
2D9F,2020-04-04 01:06:51,17126,,5,,
2D9F,2020-04-04 01:07:02,17126,,5,,
2D9F,2020-04-04 01:07:07,17126,,5,,
2D9F,2020-04-04 01:07:12,17126,,5,,
2D9F,2020-04-04 01:07:17,17126,,5,,
2D9F,2020-04-04 01:07:22,17126,,5,,
2D9F,2020-04-04 01:07:32,17126,,5,,
2D9F,2020-04-04 01:07:42,17126,,5,,
2D9F,2020-04-04 01:07:47,17126,,5,,
2D9F,2020-04-04 01:07:52,17126,,5,,
2D9F,2020-04-04 01:07:57,17126,,5,,
2D9F,2020-04-04 01:08:02,17126,,5,,
2D9F,2020-04-04 01:08:07,17126,,5,,
2D9F,2020-04-04 01:08:12,17126,,5,,
2D9F,2020-04-04 01:08:17,17126,,5,,
2D9F,2020-04-04 01:08:22,17126,,5,,
2D9F,2020-04-04 01:08:27,17126,,5,,
2D9F,2020-04-04 01:08:32,17126,,5,,
2D9F,2020-04-04 01:08:37,17126,,5,,
